InvoiceLineID,InvoiceID,StockItemID,Description,Quantity,UnitPrice,LineProfit,ExtendedPrice
226,104,51,Developer joke mug - old C developers never die (Black),1,13.00,8.50,14.95
227,105,206,Permanent marker black 5mm nib (Black) 5mm,72,2.70,72.00,223.56
228,105,9,USB food flash drive - banana,8,32.00,160.00,294.40
229,105,15,USB food flash drive - dessert 10 drive variety pack,4,240.00,606.00,1104.00
230,106,193,Black and orange glass with care despatch tape 48mmx75m,24,3.70,50.40,102.12
231,106,28,DBA joke mug - two types of DBAs (White),7,13.00,59.50,104.65
232,107,207,Permanent marker blue 5mm nib (Blue) 5mm,48,2.70,48.00,149.04
233,107,206,Permanent marker black 5mm nib (Black) 5mm,72,2.70,72.00,223.56
234,107,134,Animal with big feet slippers (Brown) S,8,32.00,192.00,294.40
235,107,2,USB rocket launcher (Gray),4,25.00,62.00,115.00
236,108,137,Animal with big feet slippers (Brown) XL,1,32.00,23.50,36.80
237,108,166,10 mm Anti static bubble wrap (Blue) 20m,60,42.00,1140.00,2898.00
238,109,30,Developer joke mug - Oct 31 = Dec 25 (White),9,13.00,76.50,134.55
239,109,38,Developer joke mug - inheritance is the OO way to become wealthy (White),6,13.00,51.00,89.70
240,110,55,IT joke mug - that behavior is by design (Black),5,13.00,42.50,74.75
241,110,70,Ride on toy sedan car (Green) 1/12 scale,1,230.00,85.00,264.50
242,110,168,20 mm Anti static bubble wrap (Blue) 10m,30,29.00,510.00,1000.50
243,110,103,Alien officer hoodie (Black) XXL,2,35.00,36.00,80.50
244,111,65,RC vintage American toy coupe with remote control (Black) 1/50 scale,4,30.00,60.00,138.00
245,111,38,Developer joke mug - inheritance is the OO way to become wealthy (White),1,13.00,8.50,14.95
246,112,65,RC vintage American toy coupe with remote control (Black) 1/50 scale,3,30.00,45.00,103.50
247,113,69,Ride on toy sedan car (Blue) 1/12 scale,1,230.00,85.00,264.50
248,113,88,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",12,18.00,114.00,248.40
249,113,120,Dinosaur battery-powered slippers (Green) L,2,32.00,48.00,73.60
250,113,16,DBA joke mug - mind if I join you? (White),9,13.00,76.50,134.55
251,114,208,Permanent marker red 5mm nib (Red) 5mm,36,2.70,36.00,111.78
252,114,30,Developer joke mug - Oct 31 = Dec 25 (White),9,13.00,76.50,134.55
253,115,26,DBA joke mug - SELECT caffeine FROM mug (White),2,13.00,17.00,29.90
254,115,49,Developer joke mug - this code was generated by a tool (Black),4,13.00,34.00,59.80
255,115,50,Developer joke mug - old C developers never die (White),8,13.00,68.00,119.60
256,115,53,IT joke mug - keyboard not found … press F1 to continue (Black),9,13.00,76.50,134.55
257,116,167,10 mm Anti static bubble wrap (Blue) 50m,70,99.00,3780.00,7969.50
258,116,41,"Developer joke mug - (hip, hip, array) (Black)",7,13.00,59.50,104.65
259,116,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",108,18.00,1134.00,2235.60
260,117,12,USB food flash drive - donut,5,32.00,100.00,184.00
261,117,214,Air cushion film 200mmx200mm 325m,4,90.00,144.00,414.00
262,117,80,"""The Gu"" red shirt XML tag t-shirt (White) M",84,18.00,924.00,1738.80
263,118,58,RC toy sedan car with remote control (Black) 1/50 scale,4,25.00,50.00,115.00
264,118,45,Developer joke mug - there are 10 types of people in the world (Black),7,13.00,59.50,104.65
265,119,111,Superhero action jacket (Blue) M,10,30.00,80.00,345.00
266,119,22,DBA joke mug - it depends (White),6,13.00,51.00,89.70
267,119,2,USB rocket launcher (Gray),9,25.00,139.50,258.75
268,119,116,Superhero action jacket (Blue) 4XL,4,34.00,40.00,156.40
269,120,41,"Developer joke mug - (hip, hip, array) (Black)",5,13.00,42.50,74.75
270,120,154,Medium sized bubblewrap roll 20m,20,20.00,200.00,460.00
271,121,43,Developer joke mug - understanding recursion requires understanding recursion (Black),6,13.00,51.00,89.70
272,121,133,Furry gorilla with big eyes slippers (Black) XL,10,32.00,235.00,368.00
273,121,15,USB food flash drive - dessert 10 drive variety pack,5,240.00,757.50,1380.00
274,122,12,USB food flash drive - donut,1,32.00,20.00,36.80
275,122,107,Superhero action jacket (Blue) 3XS,7,25.00,42.00,201.25
276,122,151,Pack of 12 action figures (male),3,16.00,31.50,55.20
277,122,32,Developer joke mug - that's a hardware problem (White),7,13.00,59.50,104.65
278,123,51,Developer joke mug - old C developers never die (Black),9,13.00,76.50,134.55
279,123,52,IT joke mug - keyboard not found … press F1 to continue (White),10,13.00,85.00,149.50
280,123,81,"""The Gu"" red shirt XML tag t-shirt (White) L",84,18.00,924.00,1738.80
281,123,136,Animal with big feet slippers (Brown) L,8,32.00,192.00,294.40
282,124,107,Superhero action jacket (Blue) 3XS,4,25.00,24.00,115.00
283,124,141,Furry animal socks (Pink) XL,84,5.00,294.00,483.00
284,124,53,IT joke mug - keyboard not found … press F1 to continue (Black),7,13.00,59.50,104.65
285,124,152,Pack of 12 action figures (female),4,16.00,42.00,73.60
286,125,5,USB food flash drive - hamburger,10,32.00,200.00,368.00
287,125,149,Halloween skull mask (Gray) XL,120,18.00,360.00,2484.00
288,125,206,Permanent marker black 5mm nib (Black) 5mm,96,2.70,96.00,298.08
289,125,152,Pack of 12 action figures (female),7,16.00,73.50,128.80
290,126,158,10 mm Double sided bubble wrap 50m,90,105.00,4410.00,10867.50
291,126,191,Black and orange fragile despatch tape 48mmx75m,108,3.70,205.20,459.54
292,126,43,Developer joke mug - understanding recursion requires understanding recursion (Black),10,13.00,85.00,149.50
293,126,137,Animal with big feet slippers (Brown) XL,7,32.00,164.50,257.60
294,126,59,RC toy sedan car with remote control (Red) 1/50 scale,5,25.00,62.50,143.75
295,127,103,Alien officer hoodie (Black) XXL,6,35.00,108.00,241.50
296,127,61,RC toy sedan car with remote control (Green) 1/50 scale,1,25.00,12.50,28.75
297,128,212,Large  replacement blades 18mm,80,4.30,180.00,395.60
298,128,97,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",72,18.00,720.00,1490.40
299,129,196,Black and orange handle with care despatch tape  48mmx100m,216,4.10,453.60,1018.44
300,129,87,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",60,18.00,600.00,1242.00
301,129,118,Dinosaur battery-powered slippers (Green) S,10,32.00,240.00,368.00
302,130,29,DBA joke mug - two types of DBAs (Black),9,13.00,76.50,134.55
303,130,3,Office cube periscope (Black),80,18.50,580.00,1702.00
304,131,105,Alien officer hoodie (Black) 4XL,10,35.00,180.00,402.50
305,131,205,Tape dispenser (Blue),60,32.00,900.00,2208.00
306,132,186,Shipping carton (Brown) 457x457x457mm,250,2.10,250.00,603.75
307,133,199,Black and yellow heavy despatch tape  48mmx75m,48,3.70,105.60,204.24
308,134,189,Clear packaging tape 48mmx75m,234,2.90,280.80,780.39
309,135,160,20 mm Double sided bubble wrap 20m,40,33.00,720.00,1518.00
310,135,97,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",120,18.00,1200.00,2484.00
311,136,90,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",72,18.00,792.00,1490.40
312,136,205,Tape dispenser (Blue),60,32.00,900.00,2208.00
313,137,82,"""The Gu"" red shirt XML tag t-shirt (White) XL",36,18.00,378.00,745.20
314,137,93,"""The Gu"" red shirt XML tag t-shirt (Black) M",48,18.00,528.00,993.60
315,137,178,Shipping carton (Brown) 500x310x310mm,100,2.55,145.00,293.25
316,138,97,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",96,18.00,960.00,1987.20
317,138,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",108,18.00,1134.00,2235.60
318,139,130,Furry gorilla with big eyes slippers (Black) S,4,32.00,96.00,147.20
319,139,154,Medium sized bubblewrap roll 20m,50,20.00,500.00,1150.00
320,140,79,"""The Gu"" red shirt XML tag t-shirt (White) S",36,18.00,396.00,745.20
321,141,91,"""The Gu"" red shirt XML tag t-shirt (Black) XS",60,18.00,660.00,1242.00
322,142,77,"""The Gu"" red shirt XML tag t-shirt (White) XXS",120,18.00,1320.00,2484.00
323,143,216,Void fill 100 L bag (White) 100L,40,12.50,260.00,575.00
324,144,93,"""The Gu"" red shirt XML tag t-shirt (Black) M",120,18.00,1320.00,2484.00
325,145,46,Developer joke mug - a foo walks into a bar (White),10,13.00,85.00,149.50
326,146,160,20 mm Double sided bubble wrap 20m,90,33.00,1620.00,3415.50
327,146,196,Black and orange handle with care despatch tape  48mmx100m,168,4.10,352.80,792.12
328,147,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",120,18.00,1260.00,2484.00
329,148,203,Tape dispenser (Black),40,32.00,600.00,1472.00
330,149,188,3 kg Courier post bag (White) 300x190x95mm,175,0.66,52.50,132.83
331,150,211,Small 9mm replacement blades 9mm,40,4.10,60.00,188.60
332,151,200,Black and yellow heavy despatch tape 48mmx100m,96,4.10,163.20,452.64
333,152,211,Small 9mm replacement blades 9mm,100,4.10,150.00,471.50
334,153,212,Large  replacement blades 18mm,60,4.30,135.00,296.70
335,154,16,DBA joke mug - mind if I join you? (White),6,13.00,51.00,89.70
336,154,137,Animal with big feet slippers (Brown) XL,10,32.00,235.00,368.00
337,154,90,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",24,18.00,264.00,496.80
338,154,60,RC toy sedan car with remote control (Blue) 1/50 scale,7,25.00,87.50,201.25
339,154,57,IT joke mug - hardware: part of the computer that can be kicked (Black),3,13.00,25.50,44.85
340,155,12,USB food flash drive - donut,2,32.00,40.00,73.60
