CustomerTransactionID,CustomerID,InvoiceID,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized
84,1,27,2013-01-01,301.00,45.15,346.15,0.00,2013-01-02,1
88,1,28,2013-01-01,4348.00,652.20,5000.20,0.00,2013-01-02,1
91,972,29,2013-01-01,373.00,55.95,428.95,0.00,2013-01-02,1
93,401,30,2013-01-01,100.00,15.00,115.00,0.00,2013-01-02,1
97,1,31,2013-01-01,749.00,112.35,861.35,0.00,2013-01-02,1
101,811,32,2013-01-01,780.00,117.00,897.00,0.00,2013-01-02,1
103,1,33,2013-01-01,32.40,4.86,37.26,0.00,2013-01-02,1
109,862,34,2013-01-01,823.00,123.45,946.45,0.00,2013-01-02,1
111,401,35,2013-01-01,200.00,30.00,230.00,0.00,2013-01-02,1
116,908,36,2013-01-01,482.00,72.30,554.30,0.00,2013-01-02,1
118,995,37,2013-01-01,130.00,19.50,149.50,0.00,2013-01-02,1
120,910,38,2013-01-01,26.00,3.90,29.90,0.00,2013-01-02,1
124,401,39,2013-01-01,370.00,55.50,425.50,0.00,2013-01-02,1
127,1000,40,2013-01-01,648.00,97.20,745.20,0.00,2013-01-02,1
130,401,41,2013-01-01,270.00,40.50,310.50,0.00,2013-01-02,1
231,1,NULL,2013-01-02,0.00,0.00,-9513.49,0.00,2013-01-02,1
232,401,NULL,2013-01-02,0.00,0.00,-5089.33,0.00,2013-01-02,1
233,803,NULL,2013-01-02,0.00,0.00,-465.75,0.00,2013-01-02,1
234,811,NULL,2013-01-02,0.00,0.00,-897.00,0.00,2013-01-02,1
235,832,NULL,2013-01-02,0.00,0.00,-2645.00,0.00,2013-01-02,1
236,862,NULL,2013-01-02,0.00,0.00,-946.45,0.00,2013-01-02,1
237,870,NULL,2013-01-02,0.00,0.00,-747.50,0.00,2013-01-02,1
238,873,NULL,2013-01-02,0.00,0.00,-542.80,0.00,2013-01-02,1
239,884,NULL,2013-01-02,0.00,0.00,-276.00,0.00,2013-01-02,1
240,890,NULL,2013-01-02,0.00,0.00,-3659.30,0.00,2013-01-02,1
241,905,NULL,2013-01-02,0.00,0.00,-809.60,0.00,2013-01-02,1
242,908,NULL,2013-01-02,0.00,0.00,-554.30,0.00,2013-01-02,1
243,910,NULL,2013-01-02,0.00,0.00,-517.50,0.00,2013-01-02,1
244,949,NULL,2013-01-02,0.00,0.00,-104.65,0.00,2013-01-02,1
245,964,NULL,2013-01-02,0.00,0.00,-296.70,0.00,2013-01-02,1
246,972,NULL,2013-01-02,0.00,0.00,-428.95,0.00,2013-01-02,1
247,973,NULL,2013-01-02,0.00,0.00,-3662.75,0.00,2013-01-02,1
248,976,NULL,2013-01-02,0.00,0.00,-494.50,0.00,2013-01-02,1
249,991,NULL,2013-01-02,0.00,0.00,-200.10,0.00,2013-01-02,1
250,995,NULL,2013-01-02,0.00,0.00,-149.50,0.00,2013-01-02,1
251,1000,NULL,2013-01-02,0.00,0.00,-745.20,0.00,2013-01-02,1
255,401,42,2013-01-02,2534.00,380.10,2914.10,0.00,2013-01-03,1
258,401,43,2013-01-02,482.00,72.30,554.30,0.00,2013-01-03,1
261,401,44,2013-01-02,2556.00,383.40,2939.40,0.00,2013-01-03,1
263,832,45,2013-01-02,5600.00,840.00,6440.00,0.00,2013-01-03,1
266,803,46,2013-01-02,4176.00,626.40,4802.40,0.00,2013-01-03,1
270,1,47,2013-01-02,11020.00,1653.00,12673.00,0.00,2013-01-03,1
273,905,48,2013-01-02,1424.00,213.60,1637.60,0.00,2013-01-03,1
275,401,49,2013-01-02,1500.00,225.00,1725.00,0.00,2013-01-03,1
277,964,50,2013-01-02,85.05,12.76,97.81,0.00,2013-01-03,1
279,1,51,2013-01-02,432.00,64.80,496.80,0.00,2013-01-03,1
281,1,52,2013-01-02,266.40,39.96,306.36,0.00,2013-01-03,1
286,401,53,2013-01-02,11988.00,1798.20,13786.20,0.00,2013-01-03,1
288,401,54,2013-01-02,85.50,12.83,98.33,0.00,2013-01-03,1
292,401,55,2013-01-02,3417.60,512.64,3930.24,0.00,2013-01-03,1
295,870,56,2013-01-02,3240.00,486.00,3726.00,0.00,2013-01-03,1
297,401,57,2013-01-02,180.00,27.00,207.00,0.00,2013-01-03,1
301,910,58,2013-01-02,1697.00,254.55,1951.55,0.00,2013-01-03,1
305,949,59,2013-01-02,8949.60,1342.44,10292.04,0.00,2013-01-03,1
308,973,60,2013-01-02,1937.00,290.55,2227.55,0.00,2013-01-03,1
310,884,61,2013-01-02,64.00,9.60,73.60,0.00,2013-01-03,1
312,1,62,2013-01-02,688.80,103.32,792.12,0.00,2013-01-03,1
314,1,63,2013-01-02,1296.00,194.40,1490.40,0.00,2013-01-03,1
316,401,64,2013-01-02,648.00,97.20,745.20,0.00,2013-01-03,1
321,401,65,2013-01-02,1908.00,286.20,2194.20,0.00,2013-01-03,1
323,1,66,2013-01-02,1850.00,277.50,2127.50,0.00,2013-01-03,1
325,1,67,2013-01-02,4950.00,742.50,5692.50,0.00,2013-01-03,1
327,972,68,2013-01-02,864.00,129.60,993.60,0.00,2013-01-03,1
329,401,69,2013-01-02,600.00,90.00,690.00,0.00,2013-01-03,1
332,1,70,2013-01-02,571.80,85.77,657.57,0.00,2013-01-03,1
335,811,71,2013-01-02,266.00,39.90,305.90,0.00,2013-01-03,1
338,1,72,2013-01-02,463.20,69.48,532.68,0.00,2013-01-03,1
341,401,73,2013-01-02,1420.00,213.00,1633.00,0.00,2013-01-03,1
343,908,74,2013-01-02,274.00,41.10,315.10,0.00,2013-01-03,1
345,995,75,2013-01-02,1080.00,162.00,1242.00,0.00,2013-01-03,1
348,910,76,2013-01-02,6420.00,963.00,7383.00,0.00,2013-01-03,1
351,401,77,2013-01-02,4968.00,745.20,5713.20,0.00,2013-01-03,1
355,1000,78,2013-01-02,5036.00,755.40,5791.40,0.00,2013-01-03,1
357,401,79,2013-01-02,420.00,63.00,483.00,0.00,2013-01-03,1
361,401,80,2013-01-02,1138.00,170.70,1308.70,0.00,2013-01-03,1
364,401,81,2013-01-02,376.00,56.40,432.40,0.00,2013-01-03,1
367,401,82,2013-01-02,234.00,35.10,269.10,0.00,2013-01-03,1
372,1,83,2013-01-02,6220.40,933.06,7153.46,0.00,2013-01-03,1
375,1,84,2013-01-02,308.00,46.20,354.20,0.00,2013-01-03,1
378,401,85,2013-01-02,707.40,106.11,813.51,0.00,2013-01-03,1
381,1,86,2013-01-02,1446.00,216.90,1662.90,0.00,2013-01-03,1
384,401,87,2013-01-02,1832.00,274.80,2106.80,0.00,2013-01-03,1
388,1,88,2013-01-02,1134.20,170.13,1304.33,0.00,2013-01-03,1
392,401,89,2013-01-02,572.00,85.80,657.80,0.00,2013-01-03,1
397,910,90,2013-01-02,1522.50,228.38,1750.88,0.00,2013-01-03,1
401,1,91,2013-01-02,2176.00,326.40,2502.40,0.00,2013-01-03,1
404,1,92,2013-01-02,104.00,15.60,119.60,0.00,2013-01-03,1
408,857,93,2013-01-02,584.00,87.60,671.60,0.00,2013-01-03,1
411,401,94,2013-01-02,346.00,51.90,397.90,0.00,2013-01-03,1
417,401,95,2013-01-02,2698.40,404.76,3103.16,0.00,2013-01-03,1
423,1,96,2013-01-02,451.00,67.65,518.65,0.00,2013-01-03,1
426,990,97,2013-01-02,182.00,27.30,209.30,0.00,2013-01-03,1
429,864,98,2013-01-02,300.00,45.00,345.00,0.00,2013-01-03,1
433,1,99,2013-01-02,273.00,40.95,313.95,0.00,2013-01-03,1
435,401,100,2013-01-02,78.00,11.70,89.70,0.00,2013-01-03,1
438,401,101,2013-01-02,723.00,108.45,831.45,0.00,2013-01-03,1
442,1,102,2013-01-02,366.80,55.02,421.82,0.00,2013-01-03,1
447,979,103,2013-01-02,1210.00,181.50,1391.50,0.00,2013-01-03,1
451,826,104,2013-01-02,1989.00,298.35,2287.35,0.00,2013-01-03,1
455,943,105,2013-01-02,1410.40,211.56,1621.96,0.00,2013-01-03,1
458,1,106,2013-01-02,179.80,26.97,206.77,0.00,2013-01-03,1
463,1,107,2013-01-02,680.00,102.00,782.00,0.00,2013-01-03,1
466,1,108,2013-01-02,2552.00,382.80,2934.80,0.00,2013-01-03,1
469,939,109,2013-01-02,195.00,29.25,224.25,0.00,2013-01-03,1
474,1,110,2013-01-02,1235.00,185.25,1420.25,0.00,2013-01-03,1
477,844,111,2013-01-02,133.00,19.95,152.95,0.00,2013-01-03,1
479,401,112,2013-01-02,90.00,13.50,103.50,0.00,2013-01-03,1
484,1,113,2013-01-02,627.00,94.05,721.05,0.00,2013-01-03,1
487,866,114,2013-01-02,214.20,32.13,246.33,0.00,2013-01-03,1
492,812,115,2013-01-02,299.00,44.85,343.85,0.00,2013-01-03,1
496,828,116,2013-01-02,8965.00,1344.75,10309.75,0.00,2013-01-03,1
500,1,117,2013-01-02,2032.00,304.80,2336.80,0.00,2013-01-03,1
503,841,118,2013-01-02,191.00,28.65,219.65,0.00,2013-01-03,1
508,841,119,2013-01-02,739.00,110.85,849.85,0.00,2013-01-03,1
511,1,120,2013-01-02,465.00,69.75,534.75,0.00,2013-01-03,1
515,1,121,2013-01-02,1598.00,239.70,1837.70,0.00,2013-01-03,1
520,401,122,2013-01-02,346.00,51.90,397.90,0.00,2013-01-03,1
525,913,123,2013-01-02,2015.00,302.25,2317.25,0.00,2013-01-03,1
530,1,124,2013-01-02,675.00,101.25,776.25,0.00,2013-01-03,1
535,401,125,2013-01-02,2851.20,427.68,3278.88,0.00,2013-01-03,1
541,889,126,2013-01-02,10328.60,1549.29,11877.89,0.00,2013-01-03,1
544,1,127,2013-01-02,235.00,35.25,270.25,0.00,2013-01-03,1
595,1,NULL,2013-01-03,0.00,0.00,-50940.86,0.00,2013-01-03,1
596,401,NULL,2013-01-03,0.00,0.00,-51403.97,0.00,2013-01-03,1
597,803,NULL,2013-01-03,0.00,0.00,-4802.40,0.00,2013-01-03,1
598,811,NULL,2013-01-03,0.00,0.00,-305.90,0.00,2013-01-03,1
599,812,NULL,2013-01-03,0.00,0.00,-343.85,0.00,2013-01-03,1
600,826,NULL,2013-01-03,0.00,0.00,-2287.35,0.00,2013-01-03,1
601,828,NULL,2013-01-03,0.00,0.00,-10309.75,0.00,2013-01-03,1
602,832,NULL,2013-01-03,0.00,0.00,-6440.00,0.00,2013-01-03,1
603,841,NULL,2013-01-03,0.00,0.00,-1069.50,0.00,2013-01-03,1
604,844,NULL,2013-01-03,0.00,0.00,-152.95,0.00,2013-01-03,1
605,857,NULL,2013-01-03,0.00,0.00,-671.60,0.00,2013-01-03,1
606,864,NULL,2013-01-03,0.00,0.00,-345.00,0.00,2013-01-03,1
607,866,NULL,2013-01-03,0.00,0.00,-246.33,0.00,2013-01-03,1
608,870,NULL,2013-01-03,0.00,0.00,-3726.00,0.00,2013-01-03,1
609,884,NULL,2013-01-03,0.00,0.00,-73.60,0.00,2013-01-03,1
610,889,NULL,2013-01-03,0.00,0.00,-11877.89,0.00,2013-01-03,1
611,905,NULL,2013-01-03,0.00,0.00,-1637.60,0.00,2013-01-03,1
612,908,NULL,2013-01-03,0.00,0.00,-315.10,0.00,2013-01-03,1
613,910,NULL,2013-01-03,0.00,0.00,-11085.43,0.00,2013-01-03,1
614,913,NULL,2013-01-03,0.00,0.00,-2317.25,0.00,2013-01-03,1
615,939,NULL,2013-01-03,0.00,0.00,-224.25,0.00,2013-01-03,1
616,943,NULL,2013-01-03,0.00,0.00,-1621.96,0.00,2013-01-03,1
617,949,NULL,2013-01-03,0.00,0.00,-10292.04,0.00,2013-01-03,1
618,964,NULL,2013-01-03,0.00,0.00,-97.81,0.00,2013-01-03,1
619,972,NULL,2013-01-03,0.00,0.00,-993.60,0.00,2013-01-03,1
620,973,NULL,2013-01-03,0.00,0.00,-2227.55,0.00,2013-01-03,1
621,979,NULL,2013-01-03,0.00,0.00,-1391.50,0.00,2013-01-03,1
622,990,NULL,2013-01-03,0.00,0.00,-209.30,0.00,2013-01-03,1
623,995,NULL,2013-01-03,0.00,0.00,-1242.00,0.00,2013-01-03,1
624,1000,NULL,2013-01-03,0.00,0.00,-5791.40,0.00,2013-01-03,1
627,401,128,2013-01-03,1640.00,246.00,1886.00,0.00,2013-01-04,1
631,1,129,2013-01-03,2285.60,342.84,2628.44,0.00,2013-01-04,1
634,1,130,2013-01-03,1597.00,239.55,1836.55,0.00,2013-01-04,1
637,401,131,2013-01-03,2270.00,340.50,2610.50,0.00,2013-01-04,1
639,401,132,2013-01-03,525.00,78.75,603.75,0.00,2013-01-04,1
641,1,133,2013-01-03,177.60,26.64,204.24,0.00,2013-01-04,1
643,401,134,2013-01-03,678.60,101.79,780.39,0.00,2013-01-04,1
646,857,135,2013-01-03,3480.00,522.00,4002.00,0.00,2013-01-04,1
649,401,136,2013-01-03,3216.00,482.40,3698.40,0.00,2013-01-04,1
653,990,137,2013-01-03,1767.00,265.05,2032.05,0.00,2013-01-04,1
656,864,138,2013-01-03,3672.00,550.80,4222.80,0.00,2013-01-04,1
659,401,139,2013-01-03,1128.00,169.20,1297.20,0.00,2013-01-04,1
661,1,140,2013-01-03,648.00,97.20,745.20,0.00,2013-01-04,1
663,979,141,2013-01-03,1080.00,162.00,1242.00,0.00,2013-01-04,1
665,826,142,2013-01-03,2160.00,324.00,2484.00,0.00,2013-01-04,1
667,1,143,2013-01-03,500.00,75.00,575.00,0.00,2013-01-04,1
669,1,144,2013-01-03,2160.00,324.00,2484.00,0.00,2013-01-04,1
671,939,145,2013-01-03,130.00,19.50,149.50,0.00,2013-01-04,1
674,844,146,2013-01-03,3658.80,548.82,4207.62,0.00,2013-01-04,1
676,401,147,2013-01-03,2160.00,324.00,2484.00,0.00,2013-01-04,1
678,812,148,2013-01-03,1280.00,192.00,1472.00,0.00,2013-01-04,1
680,1,149,2013-01-03,115.50,17.33,132.83,0.00,2013-01-04,1
682,1,150,2013-01-03,164.00,24.60,188.60,0.00,2013-01-04,1
684,1,151,2013-01-03,393.60,59.04,452.64,0.00,2013-01-04,1
686,913,152,2013-01-03,410.00,61.50,471.50,0.00,2013-01-04,1
688,1,153,2013-01-03,258.00,38.70,296.70,0.00,2013-01-04,1
694,1,154,2013-01-03,1044.00,156.60,1200.60,0.00,2013-01-04,1
697,401,155,2013-01-03,172.00,25.80,197.80,0.00,2013-01-04,1
699,911,156,2013-01-03,480.00,72.00,552.00,0.00,2013-01-04,1
702,401,157,2013-01-03,266.00,39.90,305.90,0.00,2013-01-04,1
706,914,158,2013-01-03,420.00,63.00,483.00,0.00,2013-01-04,1
712,401,159,2013-01-03,1028.00,154.20,1182.20,0.00,2013-01-04,1
714,401,160,2013-01-03,64.00,9.60,73.60,0.00,2013-01-04,1
718,401,161,2013-01-03,1433.00,214.95,1647.95,0.00,2013-01-04,1
720,401,162,2013-01-03,1050.00,157.50,1207.50,0.00,2013-01-04,1
723,893,163,2013-01-03,200.00,30.00,230.00,0.00,2013-01-04,1
728,401,164,2013-01-03,2240.00,336.00,2576.00,0.00,2013-01-04,1
731,1,165,2013-01-03,350.00,52.50,402.50,0.00,2013-01-04,1
736,823,166,2013-01-03,1115.00,167.25,1282.25,0.00,2013-01-04,1
742,401,167,2013-01-03,1145.00,171.75,1316.75,0.00,2013-01-04,1
747,845,168,2013-01-03,4236.80,635.52,4872.32,0.00,2013-01-04,1
750,898,169,2013-01-03,134.70,20.21,154.91,0.00,2013-01-04,1
756,1,170,2013-01-03,1933.00,289.95,2222.95,0.00,2013-01-04,1
761,401,171,2013-01-03,1202.80,180.42,1383.22,0.00,2013-01-04,1
766,401,172,2013-01-03,2356.00,353.40,2709.40,0.00,2013-01-04,1
769,921,173,2013-01-03,91.00,13.65,104.65,0.00,2013-01-04,1
772,820,174,2013-01-03,537.00,80.55,617.55,0.00,2013-01-04,1
778,1,175,2013-01-03,1573.00,235.95,1808.95,0.00,2013-01-04,1
783,401,176,2013-01-03,2218.50,332.78,2551.28,0.00,2013-01-04,1
787,1,177,2013-01-03,608.00,91.20,699.20,0.00,2013-01-04,1
793,919,178,2013-01-03,1133.00,169.95,1302.95,0.00,2013-01-04,1
796,1,179,2013-01-03,4445.00,666.75,5111.75,0.00,2013-01-04,1
801,968,180,2013-01-03,713.00,106.95,819.95,0.00,2013-01-04,1
806,401,181,2013-01-03,3096.00,464.40,3560.40,0.00,2013-01-04,1
811,875,182,2013-01-03,1783.00,267.45,2050.45,0.00,2013-01-04,1
814,1,183,2013-01-03,8330.00,1249.50,9579.50,0.00,2013-01-04,1
818,401,184,2013-01-03,112.25,16.84,129.09,0.00,2013-01-04,1
821,401,185,2013-01-03,832.00,124.80,956.80,0.00,2013-01-04,1
824,833,186,2013-01-03,2042.00,306.30,2348.30,0.00,2013-01-04,1
828,972,187,2013-01-03,128.80,19.32,148.12,0.00,2013-01-04,1
830,1,188,2013-01-03,175.00,26.25,201.25,0.00,2013-01-04,1
836,989,189,2013-01-03,3709.00,556.35,4265.35,0.00,2013-01-04,1
839,401,190,2013-01-03,1464.00,219.60,1683.60,0.00,2013-01-04,1
843,896,191,2013-01-03,4803.00,720.45,5523.45,0.00,2013-01-04,1
848,878,192,2013-01-03,418.00,62.70,480.70,0.00,2013-01-04,1
853,1,193,2013-01-03,2249.00,337.35,2586.35,0.00,2013-01-04,1
856,1,194,2013-01-03,39.25,5.89,45.14,0.00,2013-01-04,1
861,401,195,2013-01-03,1054.00,158.10,1212.10,0.00,2013-01-04,1
864,1,196,2013-01-03,178.00,26.70,204.70,0.00,2013-01-04,1
868,1,197,2013-01-03,8272.00,1240.80,9512.80,0.00,2013-01-04,1
872,401,198,2013-01-03,2815.00,422.25,3237.25,0.00,2013-01-04,1
875,1,199,2013-01-03,276.00,41.40,317.40,0.00,2013-01-04,1
879,401,200,2013-01-03,758.00,113.70,871.70,0.00,2013-01-04,1
883,983,201,2013-01-03,1060.00,159.00,1219.00,0.00,2013-01-04,1
889,401,202,2013-01-03,3268.60,490.29,3758.89,0.00,2013-01-04,1
892,930,203,2013-01-03,8270.00,1240.50,9510.50,0.00,2013-01-04,1
894,401,204,2013-01-03,64.00,9.60,73.60,0.00,2013-01-04,1
900,401,205,2013-01-03,1086.00,162.90,1248.90,0.00,2013-01-04,1
904,401,206,2013-01-03,2156.00,323.40,2479.40,0.00,2013-01-04,1
907,401,207,2013-01-03,450.00,67.50,517.50,0.00,2013-01-04,1
912,401,208,2013-01-03,1818.00,272.70,2090.70,0.00,2013-01-04,1
918,886,209,2013-01-03,2913.00,436.95,3349.95,0.00,2013-01-04,1
922,947,210,2013-01-03,2260.00,339.00,2599.00,0.00,2013-01-04,1
960,1,NULL,2013-01-04,0.00,0.00,-43437.29,0.00,2013-01-04,1
961,401,NULL,2013-01-04,0.00,0.00,-50331.77,0.00,2013-01-04,1
962,812,NULL,2013-01-04,0.00,0.00,-1472.00,0.00,2013-01-04,1
963,820,NULL,2013-01-04,0.00,0.00,-617.55,0.00,2013-01-04,1
964,823,NULL,2013-01-04,0.00,0.00,-1282.25,0.00,2013-01-04,1
965,826,NULL,2013-01-04,0.00,0.00,-2484.00,0.00,2013-01-04,1
966,833,NULL,2013-01-04,0.00,0.00,-2348.30,0.00,2013-01-04,1
967,844,NULL,2013-01-04,0.00,0.00,-4207.62,0.00,2013-01-04,1
968,845,NULL,2013-01-04,0.00,0.00,-4872.32,0.00,2013-01-04,1
969,857,NULL,2013-01-04,0.00,0.00,-4002.00,0.00,2013-01-04,1
970,864,NULL,2013-01-04,0.00,0.00,-4222.80,0.00,2013-01-04,1
971,875,NULL,2013-01-04,0.00,0.00,-2050.45,0.00,2013-01-04,1
972,878,NULL,2013-01-04,0.00,0.00,-480.70,0.00,2013-01-04,1
973,886,NULL,2013-01-04,0.00,0.00,-3349.95,0.00,2013-01-04,1
974,893,NULL,2013-01-04,0.00,0.00,-230.00,0.00,2013-01-04,1
975,896,NULL,2013-01-04,0.00,0.00,-5523.45,0.00,2013-01-04,1
976,898,NULL,2013-01-04,0.00,0.00,-154.91,0.00,2013-01-04,1
977,911,NULL,2013-01-04,0.00,0.00,-552.00,0.00,2013-01-04,1
978,913,NULL,2013-01-04,0.00,0.00,-471.50,0.00,2013-01-04,1
1138,863,255,2013-01-04,4810.00,721.50,5531.50,0.00,2013-01-05,1
1142,401,256,2013-01-04,2254.00,338.10,2592.10,0.00,2013-01-05,1
1146,1,257,2013-01-04,1070.50,160.58,1231.08,0.00,2013-01-05,1
1152,401,258,2013-01-04,5571.00,835.65,6406.65,0.00,2013-01-05,1
1156,1,259,2013-01-04,1992.00,298.80,2290.80,0.00,2013-01-05,1
1159,1,260,2013-01-04,268.25,40.24,308.49,0.00,2013-01-05,1
1164,823,261,2013-01-04,1374.00,206.10,1580.10,0.00,2013-01-05,1
1169,987,262,2013-01-04,2351.00,352.65,2703.65,0.00,2013-01-05,1
1172,401,263,2013-01-04,256.00,38.40,294.40,0.00,2013-01-05,1
1175,983,264,2013-01-04,726.00,108.90,834.90,0.00,2013-01-05,1
1179,932,265,2013-01-04,2580.00,387.00,2967.00,0.00,2013-01-05,1
1182,883,266,2013-01-04,73.00,10.95,83.95,0.00,2013-01-05,1
1186,401,267,2013-01-04,411.00,61.65,472.65,0.00,2013-01-05,1
1191,401,268,2013-01-04,1005.00,150.75,1155.75,0.00,2013-01-05,1
1195,877,269,2013-01-04,1386.50,207.98,1594.48,0.00,2013-01-05,1
979,914,NULL,2013-01-04,0.00,0.00,-483.00,0.00,2013-01-04,1
980,919,NULL,2013-01-04,0.00,0.00,-1302.95,0.00,2013-01-04,1
981,921,NULL,2013-01-04,0.00,0.00,-104.65,0.00,2013-01-04,1
982,930,NULL,2013-01-04,0.00,0.00,-9510.50,0.00,2013-01-04,1
983,939,NULL,2013-01-04,0.00,0.00,-149.50,0.00,2013-01-04,1
984,947,NULL,2013-01-04,0.00,0.00,-2599.00,0.00,2013-01-04,1
985,968,NULL,2013-01-04,0.00,0.00,-819.95,0.00,2013-01-04,1
986,972,NULL,2013-01-04,0.00,0.00,-148.12,0.00,2013-01-04,1
987,979,NULL,2013-01-04,0.00,0.00,-1242.00,0.00,2013-01-04,1
988,983,NULL,2013-01-04,0.00,0.00,-1219.00,0.00,2013-01-04,1
989,989,NULL,2013-01-04,0.00,0.00,-4265.35,0.00,2013-01-04,1
990,990,NULL,2013-01-04,0.00,0.00,-2032.05,0.00,2013-01-04,1
992,911,211,2013-01-04,1080.00,162.00,1242.00,0.00,2013-01-05,1
994,914,212,2013-01-04,256.00,38.40,294.40,0.00,2013-01-05,1
996,401,213,2013-01-04,78.75,11.81,90.56,0.00,2013-01-05,1
998,401,214,2013-01-04,190.00,28.50,218.50,0.00,2013-01-05,1
1000,893,215,2013-01-04,1920.00,288.00,2208.00,0.00,2013-01-05,1
1002,401,216,2013-01-04,2160.00,324.00,2484.00,0.00,2013-01-05,1
1005,1,217,2013-01-04,1920.00,288.00,2208.00,0.00,2013-01-05,1
1007,845,218,2013-01-04,5250.00,787.50,6037.50,0.00,2013-01-05,1
1009,898,219,2013-01-04,1680.00,252.00,1932.00,0.00,2013-01-05,1
1011,401,220,2013-01-04,2400.00,360.00,2760.00,0.00,2013-01-05,1
1013,401,221,2013-01-04,120.00,18.00,138.00,0.00,2013-01-05,1
1015,1,222,2013-01-04,190.00,28.50,218.50,0.00,2013-01-05,1
1017,401,223,2013-01-04,405.00,60.75,465.75,0.00,2013-01-05,1
1019,875,224,2013-01-04,210.00,31.50,241.50,0.00,2013-01-05,1
1022,1,225,2013-01-04,3104.00,465.60,3569.60,0.00,2013-01-05,1
1024,972,226,2013-01-04,377.00,56.55,433.55,0.00,2013-01-05,1
1027,1,227,2013-01-04,2004.00,300.60,2304.60,0.00,2013-01-05,1
1029,401,228,2013-01-04,142.50,21.38,163.88,0.00,2013-01-05,1
1031,896,229,2013-01-04,1200.00,180.00,1380.00,0.00,2013-01-05,1
1033,1,230,2013-01-04,64.00,9.60,73.60,0.00,2013-01-05,1
1035,401,231,2013-01-04,1728.00,259.20,1987.20,0.00,2013-01-05,1
1039,930,232,2013-01-04,1036.80,155.52,1192.32,0.00,2013-01-05,1
1042,401,233,2013-01-04,387.25,58.09,445.34,0.00,2013-01-05,1
1045,401,234,2013-01-04,1542.00,231.30,1773.30,0.00,2013-01-05,1
1047,947,235,2013-01-04,2000.00,300.00,2300.00,0.00,2013-01-05,1
1052,1,236,2013-01-04,646.00,96.90,742.90,0.00,2013-01-05,1
1057,401,237,2013-01-04,5980.60,897.09,6877.69,0.00,2013-01-05,1
1061,1,238,2013-01-04,341.00,51.15,392.15,0.00,2013-01-05,1
1065,401,239,2013-01-04,648.00,97.20,745.20,0.00,2013-01-05,1
1068,1,240,2013-01-04,2349.60,352.44,2702.04,0.00,2013-01-05,1
1073,1,241,2013-01-04,9602.00,1440.30,11042.30,0.00,2013-01-05,1
1079,401,242,2013-01-04,1738.00,260.70,1998.70,0.00,2013-01-05,1
1083,401,243,2013-01-04,1587.20,238.08,1825.28,0.00,2013-01-05,1
1087,1,244,2013-01-04,4371.25,655.69,5026.94,0.00,2013-01-05,1
1093,854,245,2013-01-04,3729.60,559.44,4289.04,0.00,2013-01-05,1
1098,949,246,2013-01-04,2578.00,386.70,2964.70,0.00,2013-01-05,1
1101,860,247,2013-01-04,1664.00,249.60,1913.60,0.00,2013-01-05,1
1107,401,248,2013-01-04,1473.00,220.95,1693.95,0.00,2013-01-05,1
1110,1,249,2013-01-04,390.00,58.50,448.50,0.00,2013-01-05,1
1114,1,250,2013-01-04,2025.00,303.75,2328.75,0.00,2013-01-05,1
1120,1,251,2013-01-04,3170.00,475.50,3645.50,0.00,2013-01-05,1
