OrderLineID,OrderID,StockItemID,Description,Quantity,UnitPrice,PickedQuantity,PickingCompletedWhen
27,8,9,USB food flash drive - banana,4,32.00,4,2013-01-01 11:00:00.0000000
28,8,32,Developer joke mug - that's a hardware problem (White),9,13.00,9,2013-01-01 11:00:00.0000000
29,50,209,Packing knife with metal insert blade (Yellow) 9mm,45,1.89,45,2013-01-02 11:00:00.0000000
30,8,50,Developer joke mug - old C developers never die (White),1,13.00,1,2013-01-01 11:00:00.0000000
31,51,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",24,18.00,24,2013-01-02 11:00:00.0000000
32,9,58,RC toy sedan car with remote control (Black) 1/50 scale,2,25.00,2,2013-01-01 11:00:00.0000000
33,9,134,Animal with big feet slippers (Brown) S,4,32.00,4,2013-01-01 11:00:00.0000000
34,52,195,Black and orange handle with care despatch tape  48mmx75m,72,3.70,72,2013-01-02 11:00:00.0000000
35,10,38,Developer joke mug - inheritance is the OO way to become wealthy (White),5,13.00,5,2013-01-01 11:00:00.0000000
36,10,34,Developer joke mug - fun was unexpected at this time (White),3,13.00,3,2013-01-01 11:00:00.0000000
37,11,45,Developer joke mug - there are 10 types of people in the world (Black),1,13.00,1,2013-01-01 11:00:00.0000000
38,53,146,Halloween skull mask (Gray) S,48,18.00,48,2013-01-02 11:00:00.0000000
39,53,76,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",84,18.00,84,2013-01-02 11:00:00.0000000
40,53,99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",24,18.00,24,2013-01-02 11:00:00.0000000
41,53,170,20 mm Anti static bubble wrap (Blue) 50m,90,102.00,90,2013-01-02 11:00:00.0000000
42,54,181,Shipping carton (Brown) 356x229x229mm,75,1.14,75,2013-01-02 11:00:00.0000000
43,12,62,RC toy sedan car with remote control (Yellow) 1/50 scale,5,25.00,5,2013-01-01 11:00:00.0000000
44,12,44,Developer joke mug - there are 10 types of people in the world (White),8,13.00,8,2013-01-01 11:00:00.0000000
45,55,94,"""The Gu"" red shirt XML tag t-shirt (Black) L",84,18.00,84,2013-01-02 11:00:00.0000000
46,55,200,Black and yellow heavy despatch tape 48mmx100m,96,4.10,96,2013-01-02 11:00:00.0000000
47,55,99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",84,18.00,84,2013-01-02 11:00:00.0000000
48,13,156,10 mm Double sided bubble wrap 10m,10,15.00,10,2013-01-01 11:00:00.0000000
49,13,73,Ride on vintage American toy coupe (Red) 1/12 scale,8,285.00,8,2013-01-01 11:00:00.0000000
50,56,81,"""The Gu"" red shirt XML tag t-shirt (White) L",84,18.00,84,2013-01-02 11:00:00.0000000
51,14,111,Superhero action jacket (Blue) M,4,30.00,4,2013-01-01 11:00:00.0000000
52,14,163,32 mm Double sided bubble wrap 20m,10,37.00,10,2013-01-01 11:00:00.0000000
53,56,100,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",96,18.00,96,2013-01-02 11:00:00.0000000
54,14,132,Furry gorilla with big eyes slippers (Black) L,5,32.00,5,2013-01-01 11:00:00.0000000
55,15,108,Superhero action jacket (Blue) XXS,6,25.00,6,2013-01-01 11:00:00.0000000
56,15,210,Packing knife with metal insert blade (Yellow) 18mm,10,2.40,10,2013-01-01 11:00:00.0000000
57,57,64,RC vintage American toy coupe with remote control (Red) 1/50 scale,6,30.00,6,2013-01-02 11:00:00.0000000
58,16,115,Superhero action jacket (Blue) 3XL,2,34.00,2,2013-01-01 11:00:00.0000000
59,58,41,"Developer joke mug - (hip, hip, array) (Black)",10,13.00,10,2013-01-02 11:00:00.0000000
60,17,133,Furry gorilla with big eyes slippers (Black) XL,10,32.00,10,2013-01-01 11:00:00.0000000
61,17,47,Developer joke mug - a foo walks into a bar (Black),8,13.00,8,2013-01-01 11:00:00.0000000
62,58,54,IT joke mug - that behavior is by design (White),9,13.00,9,2013-01-02 11:00:00.0000000
63,58,168,20 mm Anti static bubble wrap (Blue) 10m,50,29.00,50,2013-01-02 11:00:00.0000000
64,18,115,Superhero action jacket (Blue) 3XL,6,34.00,6,2013-01-02 11:00:00.0000000
65,18,40,"Developer joke mug - (hip, hip, array) (White)",10,13.00,10,2013-01-02 11:00:00.0000000
66,18,162,32 mm Double sided bubble wrap 10m,100,22.00,100,2013-01-02 11:00:00.0000000
67,59,191,Black and orange fragile despatch tape 48mmx75m,288,3.70,288,2013-01-02 11:00:00.0000000
68,59,88,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",108,18.00,108,2013-01-02 11:00:00.0000000
69,59,167,10 mm Anti static bubble wrap (Blue) 50m,60,99.00,60,2013-01-02 11:00:00.0000000
70,19,22,DBA joke mug - it depends (White),7,13.00,7,2013-01-01 11:00:00.0000000
71,20,15,USB food flash drive - dessert 10 drive variety pack,8,240.00,8,2013-01-01 11:00:00.0000000
72,20,75,Ride on big wheel monster truck (Black) 1/12 scale,1,345.00,1,2013-01-01 11:00:00.0000000
73,20,68,Ride on toy sedan car (Red) 1/12 scale,4,230.00,4,2013-01-01 11:00:00.0000000
74,60,165,10 mm Anti static bubble wrap (Blue) 10m,70,26.00,70,2013-01-02 11:00:00.0000000
75,60,50,Developer joke mug - old C developers never die (White),9,13.00,9,2013-01-02 11:00:00.0000000
76,21,94,"""The Gu"" red shirt XML tag t-shirt (Black) L",24,18.00,24,2013-01-02 11:00:00.0000000
77,21,110,Superhero action jacket (Blue) S,2,25.00,2,2013-01-02 11:00:00.0000000
78,61,7,USB food flash drive - pizza slice,2,32.00,2,2013-01-02 11:00:00.0000000
79,22,111,Superhero action jacket (Blue) M,8,30.00,8,2013-01-01 11:00:00.0000000
80,23,144,Halloween zombie mask (Light Brown) L,24,18.00,24,2013-01-01 11:00:00.0000000
81,23,121,Dinosaur battery-powered slippers (Green) XL,2,32.00,2,2013-01-01 11:00:00.0000000
82,62,194,Black and orange glass with care despatch tape  48mmx100m,168,4.10,168,2013-01-02 11:00:00.0000000
83,23,54,IT joke mug - that behavior is by design (White),3,13.00,3,2013-01-01 11:00:00.0000000
84,24,128,Plush shark slippers (Gray) L,1,32.00,1,2013-01-01 11:00:00.0000000
85,24,158,10 mm Double sided bubble wrap 50m,30,105.00,30,2013-01-01 11:00:00.0000000
86,25,21,DBA joke mug - you might be a DBA if (Black),4,13.00,4,2013-01-01 11:00:00.0000000
87,25,69,Ride on toy sedan car (Blue) 1/12 scale,5,230.00,5,2013-01-01 11:00:00.0000000
88,63,92,"""The Gu"" red shirt XML tag t-shirt (Black) S",72,18.00,72,2013-01-02 11:00:00.0000000
89,25,137,Animal with big feet slippers (Brown) XL,9,32.00,9,2013-01-01 11:00:00.0000000
90,26,70,Ride on toy sedan car (Green) 1/12 scale,2,230.00,2,2013-01-01 11:00:00.0000000
91,26,210,Packing knife with metal insert blade (Yellow) 18mm,5,2.40,5,2013-01-01 11:00:00.0000000
92,64,84,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",36,18.00,36,2013-01-02 11:00:00.0000000
93,27,35,Developer joke mug - fun was unexpected at this time (Black),5,13.00,5,2013-01-01 11:00:00.0000000
94,27,14,USB food flash drive - fortune cookie,2,32.00,2,2013-01-01 11:00:00.0000000
95,65,198,Black and orange this way up despatch tape  48mmx100m,72,4.10,72,2013-01-02 11:00:00.0000000
96,65,202,Red and white urgent  heavy despatch tape  48mmx100m,96,4.10,96,2013-01-02 11:00:00.0000000
97,28,42,Developer joke mug - understanding recursion requires understanding recursion (White),1,13.00,1,2013-01-01 11:00:00.0000000
98,65,99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",48,18.00,48,2013-01-02 11:00:00.0000000
99,65,197,Black and orange this way up despatch tape 48mmx75m,96,3.70,96,2013-01-02 11:00:00.0000000
100,29,121,Dinosaur battery-powered slippers (Green) XL,9,32.00,9,2013-01-01 11:00:00.0000000
101,66,163,32 mm Double sided bubble wrap 20m,50,37.00,50,2013-01-02 11:00:00.0000000
102,29,48,Developer joke mug - this code was generated by a tool (White),1,13.00,1,2013-01-01 11:00:00.0000000
103,67,167,10 mm Anti static bubble wrap (Blue) 50m,50,99.00,50,2013-01-02 11:00:00.0000000
104,30,147,Halloween skull mask (Gray) M,12,18.00,12,2013-01-01 11:00:00.0000000
105,30,33,Developer joke mug - that's a hardware problem (Black),4,13.00,4,2013-01-01 11:00:00.0000000
106,30,170,20 mm Anti static bubble wrap (Blue) 50m,40,102.00,40,2013-01-01 11:00:00.0000000
107,31,71,Ride on toy sedan car (Yellow) 1/12 scale,10,230.00,10,2013-01-02 11:00:00.0000000
108,31,182,Shipping carton (Brown) 457x279x279mm,200,1.28,200,2013-01-02 11:00:00.0000000
109,68,85,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",48,18.00,48,2013-01-02 11:00:00.0000000
110,32,125,Ogre battery-powered slippers (Green) XL,4,32.00,4,2013-01-01 11:00:00.0000000
111,32,104,Alien officer hoodie (Black) 3XL,7,35.00,7,2013-01-01 11:00:00.0000000
112,33,60,RC toy sedan car with remote control (Blue) 1/50 scale,4,25.00,4,2013-01-01 11:00:00.0000000
113,69,138,Furry animal socks (Pink) S,120,5.00,120,2013-01-02 11:00:00.0000000
114,34,44,Developer joke mug - there are 10 types of people in the world (White),5,13.00,5,2013-01-01 11:00:00.0000000
115,34,213,Air cushion film 200mmx100mm 325m,7,87.00,7,2013-01-01 11:00:00.0000000
116,70,191,Black and orange fragile despatch tape 48mmx75m,144,3.70,144,2013-01-02 11:00:00.0000000
117,70,55,IT joke mug - that behavior is by design (Black),3,13.00,3,2013-01-02 11:00:00.0000000
118,34,61,RC toy sedan car with remote control (Green) 1/50 scale,3,25.00,3,2013-01-01 11:00:00.0000000
119,35,66,RC big wheel monster truck with remote control (Black) 1/50 scale,8,45.00,8,2013-01-01 11:00:00.0000000
120,35,63,RC toy sedan car with remote control (Pink) 1/50 scale,4,25.00,4,2013-01-01 11:00:00.0000000
121,35,125,Ogre battery-powered slippers (Green) XL,10,32.00,10,2013-01-01 11:00:00.0000000
122,71,109,Superhero action jacket (Blue) XS,7,25.00,7,2013-01-02 11:00:00.0000000
123,71,18,DBA joke mug - daaaaaa-ta (White),7,13.00,7,2013-01-02 11:00:00.0000000
124,36,207,Permanent marker blue 5mm nib (Blue) 5mm,12,2.70,12,2013-01-01 11:00:00.0000000
125,72,210,Packing knife with metal insert blade (Yellow) 18mm,45,2.40,45,2013-01-02 11:00:00.0000000
126,72,197,Black and orange this way up despatch tape 48mmx75m,96,3.70,96,2013-01-02 11:00:00.0000000
127,37,168,20 mm Anti static bubble wrap (Blue) 10m,10,29.00,10,2013-01-01 11:00:00.0000000
128,37,123,Ogre battery-powered slippers (Green) M,9,32.00,9,2013-01-01 11:00:00.0000000
129,37,2,USB rocket launcher (Gray),8,25.00,8,2013-01-01 11:00:00.0000000
130,37,27,DBA joke mug - SELECT caffeine FROM mug (Black),1,13.00,1,2013-01-01 11:00:00.0000000
131,37,5,USB food flash drive - hamburger,1,32.00,1,2013-01-01 11:00:00.0000000
132,73,162,32 mm Double sided bubble wrap 10m,40,22.00,40,2013-01-02 11:00:00.0000000
133,73,141,Furry animal socks (Pink) XL,108,5.00,108,2013-01-02 11:00:00.0000000
134,38,60,RC toy sedan car with remote control (Blue) 1/50 scale,8,25.00,8,2013-01-01 11:00:00.0000000
135,74,183,Shipping carton (Brown) 480x270x320mm,100,2.74,100,2013-01-02 11:00:00.0000000
136,39,133,Furry gorilla with big eyes slippers (Black) XL,1,32.00,1,2013-01-01 11:00:00.0000000
137,39,35,Developer joke mug - fun was unexpected at this time (Black),10,13.00,10,2013-01-01 11:00:00.0000000
138,39,134,Animal with big feet slippers (Brown) S,4,32.00,4,2013-01-01 11:00:00.0000000
139,39,120,Dinosaur battery-powered slippers (Green) L,6,32.00,6,2013-01-01 11:00:00.0000000
140,75,147,Halloween skull mask (Gray) M,60,18.00,60,2013-01-02 11:00:00.0000000
141,40,35,Developer joke mug - fun was unexpected at this time (Black),10,13.00,10,2013-01-01 11:00:00.0000000
142,41,57,IT joke mug - hardware: part of the computer that can be kicked (Black),2,13.00,2,2013-01-01 11:00:00.0000000
143,76,170,20 mm Anti static bubble wrap (Blue) 50m,30,102.00,30,2013-01-02 11:00:00.0000000
144,76,172,32 mm Anti static bubble wrap (Blue) 20m,70,48.00,70,2013-01-02 11:00:00.0000000
145,42,51,Developer joke mug - old C developers never die (Black),7,13.00,7,2013-01-01 11:00:00.0000000
146,77,172,32 mm Anti static bubble wrap (Blue) 20m,90,48.00,90,2013-01-02 11:00:00.0000000
147,77,148,Halloween skull mask (Gray) L,36,18.00,36,2013-01-02 11:00:00.0000000
148,42,43,Developer joke mug - understanding recursion requires understanding recursion (Black),3,13.00,3,2013-01-01 11:00:00.0000000
149,42,15,USB food flash drive - dessert 10 drive variety pack,1,240.00,1,2013-01-01 11:00:00.0000000
150,78,165,10 mm Anti static bubble wrap (Blue) 10m,40,26.00,40,2013-01-02 11:00:00.0000000
151,43,66,RC big wheel monster truck with remote control (Black) 1/50 scale,8,45.00,8,2013-01-01 11:00:00.0000000
152,78,80,"""The Gu"" red shirt XML tag t-shirt (White) M",12,18.00,12,2013-01-02 11:00:00.0000000
153,43,120,Dinosaur battery-powered slippers (Green) L,9,32.00,9,2013-01-01 11:00:00.0000000
154,78,166,10 mm Anti static bubble wrap (Blue) 20m,90,42.00,90,2013-01-02 11:00:00.0000000
155,44,112,Superhero action jacket (Blue) L,3,30.00,3,2013-01-01 11:00:00.0000000
156,79,138,Furry animal socks (Pink) S,84,5.00,84,2013-01-02 11:00:00.0000000
157,44,214,Air cushion film 200mmx200mm 325m,2,90.00,2,2013-01-01 11:00:00.0000000
158,80,214,Air cushion film 200mmx200mm 325m,10,90.00,10,2013-01-02 11:00:00.0000000
159,131,105,Alien officer hoodie (Black) 4XL,10,35.00,10,2013-01-03 11:00:00.0000000
160,131,205,Tape dispenser (Blue),60,32.00,60,2013-01-03 11:00:00.0000000
161,80,36,Developer joke mug - when your hammer is C++ (White),6,13.00,6,2013-01-02 11:00:00.0000000
162,80,118,Dinosaur battery-powered slippers (Green) S,5,32.00,5,2013-01-02 11:00:00.0000000
163,81,120,Dinosaur battery-powered slippers (Green) L,8,32.00,8,2013-01-02 11:00:00.0000000
164,132,186,Shipping carton (Brown) 457x457x457mm,250,2.10,250,2013-01-03 11:00:00.0000000
165,81,112,Superhero action jacket (Blue) L,4,30.00,4,2013-01-02 11:00:00.0000000
166,82,30,Developer joke mug - Oct 31 = Dec 25 (White),9,13.00,9,2013-01-02 11:00:00.0000000
167,82,46,Developer joke mug - a foo walks into a bar (White),9,13.00,9,2013-01-02 11:00:00.0000000
168,83,172,32 mm Anti static bubble wrap (Blue) 20m,100,48.00,100,2013-01-02 11:00:00.0000000
169,83,148,Halloween skull mask (Gray) L,72,18.00,72,2013-01-02 11:00:00.0000000
170,83,28,DBA joke mug - two types of DBAs (White),2,13.00,2,2013-01-02 11:00:00.0000000
171,83,194,Black and orange glass with care despatch tape  48mmx100m,24,4.10,24,2013-01-02 11:00:00.0000000
172,84,130,Furry gorilla with big eyes slippers (Black) S,8,32.00,8,2013-01-02 11:00:00.0000000
173,84,22,DBA joke mug - it depends (White),4,13.00,4,2013-01-02 11:00:00.0000000
174,85,212,Large  replacement blades 18mm,80,4.30,80,2013-01-03 11:00:00.0000000
175,85,97,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",72,18.00,72,2013-01-03 11:00:00.0000000
176,86,23,DBA joke mug - it depends (Black),9,13.00,9,2013-01-02 11:00:00.0000000
177,86,200,Black and yellow heavy despatch tape 48mmx100m,144,4.10,144,2013-01-02 11:00:00.0000000
178,133,199,Black and yellow heavy despatch tape  48mmx75m,48,3.70,48,2013-01-03 11:00:00.0000000
179,87,145,Halloween zombie mask (Light Brown) XL,72,18.00,72,2013-01-02 11:00:00.0000000
180,87,60,RC toy sedan car with remote control (Blue) 1/50 scale,6,25.00,6,2013-01-02 11:00:00.0000000
181,88,148,Halloween skull mask (Gray) L,84,18.00,84,2013-01-02 11:00:00.0000000
182,88,126,Plush shark slippers (Gray) S,10,32.00,10,2013-01-02 11:00:00.0000000
183,89,208,Permanent marker red 5mm nib (Red) 5mm,36,2.70,36,2013-01-02 11:00:00.0000000
184,89,23,DBA joke mug - it depends (Black),9,13.00,9,2013-01-02 11:00:00.0000000
185,89,71,Ride on toy sedan car (Yellow) 1/12 scale,4,230.00,4,2013-01-02 11:00:00.0000000
186,134,189,Clear packaging tape 48mmx75m,234,2.90,234,2013-01-03 11:00:00.0000000
187,90,129,Plush shark slippers (Gray) XL,6,32.00,6,2013-01-02 11:00:00.0000000
188,90,58,RC toy sedan car with remote control (Black) 1/50 scale,10,25.00,10,2013-01-02 11:00:00.0000000
189,90,33,Developer joke mug - that's a hardware problem (Black),10,13.00,10,2013-01-02 11:00:00.0000000
190,91,92,"""The Gu"" red shirt XML tag t-shirt (Black) S",60,18.00,60,2013-01-02 11:00:00.0000000
191,91,50,Developer joke mug - old C developers never die (White),4,13.00,4,2013-01-02 11:00:00.0000000
192,91,184,Shipping carton (Brown) 305x305x305mm,75,3.50,75,2013-01-02 11:00:00.0000000
193,91,128,Plush shark slippers (Gray) L,4,32.00,4,2013-01-02 11:00:00.0000000
194,92,118,Dinosaur battery-powered slippers (Green) S,1,32.00,1,2013-01-02 11:00:00.0000000
195,92,88,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",108,18.00,108,2013-01-02 11:00:00.0000000
196,92,63,RC toy sedan car with remote control (Pink) 1/50 scale,8,25.00,8,2013-01-02 11:00:00.0000000
197,93,36,Developer joke mug - when your hammer is C++ (White),4,13.00,4,2013-01-02 11:00:00.0000000
198,93,29,DBA joke mug - two types of DBAs (Black),4,13.00,4,2013-01-02 11:00:00.0000000
199,94,33,Developer joke mug - that's a hardware problem (Black),8,13.00,8,2013-01-02 11:00:00.0000000
200,135,160,20 mm Double sided bubble wrap 20m,40,33.00,40,2013-01-03 11:00:00.0000000
201,135,97,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",120,18.00,120,2013-01-03 11:00:00.0000000
202,94,121,Dinosaur battery-powered slippers (Green) XL,7,32.00,7,2013-01-02 11:00:00.0000000
203,94,128,Plush shark slippers (Gray) L,8,32.00,8,2013-01-02 11:00:00.0000000
204,95,23,DBA joke mug - it depends (Black),10,13.00,10,2013-01-02 11:00:00.0000000
205,95,142,Halloween zombie mask (Light Brown) S,12,18.00,12,2013-01-02 11:00:00.0000000
206,136,90,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",72,18.00,72,2013-01-03 11:00:00.0000000
207,136,205,Tape dispenser (Blue),60,32.00,60,2013-01-03 11:00:00.0000000
208,96,55,IT joke mug - that behavior is by design (Black),5,13.00,5,2013-01-02 11:00:00.0000000
209,96,191,Black and orange fragile despatch tape 48mmx75m,252,3.70,252,2013-01-02 11:00:00.0000000
210,96,16,DBA joke mug - mind if I join you? (White),1,13.00,1,2013-01-02 11:00:00.0000000
211,96,117,Superhero action jacket (Blue) 5XL,7,34.00,7,2013-01-02 11:00:00.0000000
212,96,168,20 mm Anti static bubble wrap (Blue) 10m,50,29.00,50,2013-01-02 11:00:00.0000000
213,97,24,DBA joke mug - I will get you in order (White),1,13.00,1,2013-01-02 11:00:00.0000000
214,97,57,IT joke mug - hardware: part of the computer that can be kicked (Black),6,13.00,6,2013-01-02 11:00:00.0000000
215,97,28,DBA joke mug - two types of DBAs (White),8,13.00,8,2013-01-02 11:00:00.0000000
216,97,129,Plush shark slippers (Gray) XL,1,32.00,1,2013-01-02 11:00:00.0000000
217,97,126,Plush shark slippers (Gray) S,7,32.00,7,2013-01-02 11:00:00.0000000
218,98,18,DBA joke mug - daaaaaa-ta (White),10,13.00,10,2013-01-02 11:00:00.0000000
219,137,82,"""The Gu"" red shirt XML tag t-shirt (White) XL",36,18.00,36,2013-01-03 11:00:00.0000000
220,137,93,"""The Gu"" red shirt XML tag t-shirt (Black) M",48,18.00,48,2013-01-03 11:00:00.0000000
221,137,178,Shipping carton (Brown) 500x310x310mm,100,2.55,100,2013-01-03 11:00:00.0000000
222,98,55,IT joke mug - that behavior is by design (Black),4,13.00,4,2013-01-02 11:00:00.0000000
223,99,115,Superhero action jacket (Blue) 3XL,5,34.00,5,2013-01-02 11:00:00.0000000
224,138,97,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",96,18.00,96,2013-01-03 11:00:00.0000000
225,99,48,Developer joke mug - this code was generated by a tool (White),10,13.00,10,2013-01-02 11:00:00.0000000
226,138,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",108,18.00,108,2013-01-03 11:00:00.0000000
227,100,38,Developer joke mug - inheritance is the OO way to become wealthy (White),7,13.00,7,2013-01-02 11:00:00.0000000
228,100,42,Developer joke mug - understanding recursion requires understanding recursion (White),4,13.00,4,2013-01-02 11:00:00.0000000
229,100,49,Developer joke mug - this code was generated by a tool (Black),10,13.00,10,2013-01-02 11:00:00.0000000
230,139,130,Furry gorilla with big eyes slippers (Black) S,4,32.00,4,2013-01-03 11:00:00.0000000
231,101,48,Developer joke mug - this code was generated by a tool (White),6,13.00,6,2013-01-02 11:00:00.0000000
232,139,154,Medium sized bubblewrap roll 20m,50,20.00,50,2013-01-03 11:00:00.0000000
233,102,196,Black and orange handle with care despatch tape  48mmx100m,216,4.10,216,2013-01-03 11:00:00.0000000
234,102,87,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",60,18.00,60,2013-01-03 11:00:00.0000000
235,102,118,Dinosaur battery-powered slippers (Green) S,10,32.00,10,2013-01-03 11:00:00.0000000
236,103,136,Animal with big feet slippers (Brown) L,9,32.00,9,2013-01-02 11:00:00.0000000
237,103,213,Air cushion film 200mmx100mm 325m,5,87.00,5,2013-01-02 11:00:00.0000000
238,104,29,DBA joke mug - two types of DBAs (Black),4,13.00,4,2013-01-02 11:00:00.0000000
239,104,206,Permanent marker black 5mm nib (Black) 5mm,24,2.70,24,2013-01-02 11:00:00.0000000
240,140,79,"""The Gu"" red shirt XML tag t-shirt (White) S",36,18.00,36,2013-01-03 11:00:00.0000000
241,104,1,USB missile launcher (Green),10,25.00,10,2013-01-02 11:00:00.0000000
242,105,29,DBA joke mug - two types of DBAs (Black),9,13.00,9,2013-01-03 11:00:00.0000000
243,105,3,Office cube periscope (Black),80,18.50,80,2013-01-03 11:00:00.0000000
244,106,126,Plush shark slippers (Gray) S,5,32.00,5,2013-01-02 11:00:00.0000000
245,106,112,Superhero action jacket (Blue) L,3,30.00,3,2013-01-02 11:00:00.0000000
246,106,9,USB food flash drive - banana,3,32.00,3,2013-01-02 11:00:00.0000000
247,106,76,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",48,18.00,48,2013-01-02 11:00:00.0000000
248,141,91,"""The Gu"" red shirt XML tag t-shirt (Black) XS",60,18.00,60,2013-01-03 11:00:00.0000000
249,107,133,Furry gorilla with big eyes slippers (Black) XL,1,32.00,1,2013-01-02 11:00:00.0000000
250,107,84,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",108,18.00,108,2013-01-02 11:00:00.0000000
251,107,51,Developer joke mug - old C developers never die (Black),1,13.00,1,2013-01-02 11:00:00.0000000
252,142,77,"""The Gu"" red shirt XML tag t-shirt (White) XXS",120,18.00,120,2013-01-03 11:00:00.0000000
253,108,206,Permanent marker black 5mm nib (Black) 5mm,72,2.70,72,2013-01-02 11:00:00.0000000
254,108,9,USB food flash drive - banana,8,32.00,8,2013-01-02 11:00:00.0000000
255,108,15,USB food flash drive - dessert 10 drive variety pack,4,240.00,4,2013-01-02 11:00:00.0000000
256,143,216,Void fill 100 L bag (White) 100L,40,12.50,40,2013-01-03 11:00:00.0000000
257,109,193,Black and orange glass with care despatch tape 48mmx75m,24,3.70,24,2013-01-02 11:00:00.0000000
258,109,28,DBA joke mug - two types of DBAs (White),7,13.00,7,2013-01-02 11:00:00.0000000
259,110,207,Permanent marker blue 5mm nib (Blue) 5mm,48,2.70,48,2013-01-02 11:00:00.0000000
260,110,206,Permanent marker black 5mm nib (Black) 5mm,72,2.70,72,2013-01-02 11:00:00.0000000
261,144,93,"""The Gu"" red shirt XML tag t-shirt (Black) M",120,18.00,120,2013-01-03 11:00:00.0000000
262,110,134,Animal with big feet slippers (Brown) S,8,32.00,8,2013-01-02 11:00:00.0000000
263,110,2,USB rocket launcher (Gray),4,25.00,4,2013-01-02 11:00:00.0000000
264,111,137,Animal with big feet slippers (Brown) XL,1,32.00,1,2013-01-02 11:00:00.0000000
265,111,166,10 mm Anti static bubble wrap (Blue) 20m,60,42.00,60,2013-01-02 11:00:00.0000000
266,112,30,Developer joke mug - Oct 31 = Dec 25 (White),9,13.00,9,2013-01-02 11:00:00.0000000
267,112,38,Developer joke mug - inheritance is the OO way to become wealthy (White),6,13.00,6,2013-01-02 11:00:00.0000000
268,145,46,Developer joke mug - a foo walks into a bar (White),10,13.00,10,2013-01-03 11:00:00.0000000
269,113,55,IT joke mug - that behavior is by design (Black),5,13.00,5,2013-01-02 11:00:00.0000000
